row_id,crop,state,district,season,year,yield_t_ha
RICE_000001,Rice,Andhra Pradesh,Anantapur,Annual,1990,2.262
RICE_000002,Rice,Andhra Pradesh,Chittoor,Annual,1990,2.555
RICE_000003,Rice,Andhra Pradesh,East Godavari,Annual,1990,1.966
RICE_000004,Rice,Andhra Pradesh,Guntur,Annual,1990,3.169
RICE_000005,Rice,Andhra Pradesh,Kadapa Ysr,Annual,1990,2.83
RICE_000006,Rice,Andhra Pradesh,Krishna,Annual,1990,2.634
RICE_000007,Rice,Andhra Pradesh,Kurnool,Annual,1990,2.393
RICE_000008,Rice,Andhra Pradesh,Prakasam,Annual,1990,2.855
RICE_000009,Rice,Andhra Pradesh,S.P.S. Nellore,Annual,1990,2.585
RICE_000010,Rice,Andhra Pradesh,Srikakulam,Annual,1990,1.659
RICE_000011,Rice,Andhra Pradesh,Visakhapatnam,Annual,1990,1.561
RICE_000012,Rice,Andhra Pradesh,Vizianagaram,Annual,1990,2.134
RICE_000013,Rice,Andhra Pradesh,West Godavari,Annual,1990,2.303
RICE_000014,Rice,Assam,Barpeta,Annual,1990,0.947
RICE_000015,Rice,Assam,Bongaigaon,Annual,1990,1.015
RICE_000016,Rice,Assam,Cachar,Annual,1990,1.652
RICE_000017,Rice,Assam,Darrang,Annual,1990,1.071
RICE_000018,Rice,Assam,Dhemaji,Annual,1990,0.925
RICE_000019,Rice,Assam,Dhubri,Annual,1990,1.018
RICE_000020,Rice,Assam,Dibrugarh,Annual,1990,1.478
RICE_000021,Rice,Assam,Goalpara,Annual,1990,1.193
RICE_000022,Rice,Assam,Golaghat,Annual,1990,1.517
RICE_000023,Rice,Assam,Hailakandi,Annual,1990,1.517
RICE_000024,Rice,Assam,Jorhat,Annual,1990,1.93
RICE_000025,Rice,Assam,Kamrup,Annual,1990,1.185
RICE_000026,Rice,Assam,Karbi Anglong,Annual,1990,1.399
RICE_000027,Rice,Assam,Karimganj,Annual,1990,1.536
RICE_000028,Rice,Assam,Kokrajhar,Annual,1990,0.832
RICE_000029,Rice,Assam,Lakhimpur,Annual,1990,1.311
RICE_000030,Rice,Assam,Marigaon,Annual,1990,1.221
RICE_000031,Rice,Assam,Nagaon,Annual,1990,1.412
RICE_000032,Rice,Assam,Nalbari,Annual,1990,1.172
RICE_000033,Rice,Assam,North Cachar Hil,Annual,1990,1.394
RICE_000034,Rice,Assam,Sibsagar,Annual,1990,2.0
RICE_000035,Rice,Assam,Sonitpur,Annual,1990,1.322
RICE_000036,Rice,Assam,Tinsukia,Annual,1990,1.468
RICE_000037,Rice,Bihar,Araria,Annual,1990,0.964
RICE_000038,Rice,Bihar,Aurangabad,Annual,1990,1.643
RICE_000039,Rice,Bihar,Begusarai,Annual,1990,1.126
RICE_000040,Rice,Bihar,Bhagalpur,Annual,1990,1.276
RICE_000041,Rice,Bihar,Bhojpur,Annual,1990,1.583
RICE_000042,Rice,Bihar,Champaran (East),Annual,1990,1.212
RICE_000043,Rice,Bihar,Champaran (West),Annual,1990,1.27
RICE_000044,Rice,Bihar,Darbhanga,Annual,1990,0.993
RICE_000045,Rice,Bihar,Gaya,Annual,1990,1.622
RICE_000046,Rice,Bihar,Gopalganj,Annual,1990,1.246
RICE_000047,Rice,Bihar,Jehanabad,Annual,1990,1.513
RICE_000048,Rice,Bihar,Katihar,Annual,1990,1.043
RICE_000049,Rice,Bihar,Khagaria,Annual,1990,0.955
RICE_000050,Rice,Bihar,Kishanganj,Annual,1990,0.932
RICE_000051,Rice,Bihar,Madhepura,Annual,1990,0.914
RICE_000052,Rice,Bihar,Madhubani,Annual,1990,0.99
RICE_000053,Rice,Bihar,Mungair,Annual,1990,1.52
RICE_000054,Rice,Bihar,Muzaffarpur,Annual,1990,0.811
RICE_000055,Rice,Bihar,Nalanda,Annual,1990,1.841
RICE_000056,Rice,Bihar,Nawada,Annual,1990,1.828
RICE_000057,Rice,Bihar,Patna,Annual,1990,1.492
RICE_000058,Rice,Bihar,Purnea,Annual,1990,0.96
RICE_000059,Rice,Bihar,Rohtas,Annual,1990,1.883
RICE_000060,Rice,Bihar,Saharsa,Annual,1990,0.872
RICE_000061,Rice,Bihar,Samastipur,Annual,1990,1.133
RICE_000062,Rice,Bihar,Saran,Annual,1990,1.391
RICE_000063,Rice,Bihar,Sitamarhi,Annual,1990,0.99
RICE_000064,Rice,Bihar,Siwan,Annual,1990,1.328
RICE_000065,Rice,Bihar,Vaishali,Annual,1990,0.927
RICE_000066,Rice,Chhattisgarh,Bastar,Annual,1990,0.97
RICE_000067,Rice,Chhattisgarh,Bilaspur,Annual,1990,1.398
RICE_000068,Rice,Chhattisgarh,Durg,Annual,1990,1.21
RICE_000069,Rice,Chhattisgarh,Raigarh,Annual,1990,0.964
RICE_000070,Rice,Chhattisgarh,Raipur,Annual,1990,1.363
RICE_000071,Rice,Chhattisgarh,Rajnandgaon,Annual,1990,1.142
RICE_000072,Rice,Chhattisgarh,Surguja,Annual,1990,1.189
RICE_000073,Rice,Gujarat,Ahmedabad,Annual,1990,1.771
RICE_000074,Rice,Gujarat,Amreli,Annual,1990,2.0
RICE_000075,Rice,Gujarat,Banaskantha,Annual,1990,1.5
RICE_000076,Rice,Gujarat,Bharuch,Annual,1990,0.798
RICE_000077,Rice,Gujarat,Bhavnagar,Annual,1990,2.0
RICE_000078,Rice,Gujarat,Dangs,Annual,1990,0.976
