row_id,split
RICE_000001,train
RICE_000002,train
RICE_000003,train
RICE_000004,train
RICE_000005,train
RICE_000006,train
RICE_000007,train
RICE_000008,train
RICE_000009,train
RICE_000010,train
RICE_000011,train
RICE_000012,train
RICE_000013,train
RICE_000014,train
RICE_000015,train
RICE_000016,train
RICE_000017,train
RICE_000018,train
RICE_000019,train
RICE_000020,train
RICE_000021,train
RICE_000022,train
RICE_000023,train
RICE_000024,train
RICE_000025,train
RICE_000026,train
RICE_000027,train
RICE_000028,train
RICE_000029,train
RICE_000030,train
RICE_000031,train
RICE_000032,train
RICE_000033,train
RICE_000034,train
RICE_000035,train
RICE_000036,train
RICE_000037,train
RICE_000038,train
RICE_000039,train
RICE_000040,train
RICE_000041,train
RICE_000042,train
RICE_000043,train
RICE_000044,train
RICE_000045,train
RICE_000046,train
RICE_000047,train
RICE_000048,train
RICE_000049,train
RICE_000050,train
RICE_000051,train
RICE_000052,train
RICE_000053,train
RICE_000054,train
RICE_000055,train
RICE_000056,train
RICE_000057,train
RICE_000058,train
RICE_000059,train
RICE_000060,train
RICE_000061,train
RICE_000062,train
RICE_000063,train
RICE_000064,train
RICE_000065,train
RICE_000066,train
RICE_000067,train
RICE_000068,train
RICE_000069,train
RICE_000070,train
RICE_000071,train
RICE_000072,train
RICE_000073,train
RICE_000074,train
RICE_000075,train
RICE_000076,train
RICE_000077,train
RICE_000078,train
RICE_000079,train
RICE_000080,train
RICE_000081,train
RICE_000082,train
RICE_000083,train
RICE_000084,train
RICE_000085,train
RICE_000086,train
RICE_000087,train
RICE_000088,train
RICE_000089,train
RICE_000090,train
RICE_000091,train
RICE_000092,train
RICE_000093,train
RICE_000094,train
RICE_000095,train
RICE_000096,train
RICE_000097,train
RICE_000098,train
RICE_000099,train
RICE_000100,train
RICE_000101,train
RICE_000102,train
RICE_000103,train
RICE_000104,train
RICE_000105,train
RICE_000106,train
RICE_000107,train
RICE_000108,train
RICE_000109,train
RICE_000110,train
RICE_000111,train
RICE_000112,train
RICE_000113,train
RICE_000114,train
RICE_000115,train
RICE_000116,train
RICE_000117,train
RICE_000118,train
RICE_000119,train
RICE_000120,train
RICE_000121,train
RICE_000122,train
RICE_000123,train
RICE_000124,train
RICE_000125,train
RICE_000126,train
RICE_000127,train
RICE_000128,train
RICE_000129,train
RICE_000130,train
RICE_000131,train
RICE_000132,train
RICE_000133,train
RICE_000134,train
RICE_000135,train
RICE_000136,train
RICE_000137,train
RICE_000138,train
RICE_000139,train
RICE_000140,train
RICE_000141,train
RICE_000142,train
RICE_000143,train
RICE_000144,train
RICE_000145,train
RICE_000146,train
RICE_000147,train
RICE_000148,train
RICE_000149,train
RICE_000150,train
RICE_000151,train
RICE_000152,train
RICE_000153,train
RICE_000154,train
RICE_000155,train
RICE_000156,train
RICE_000157,train
RICE_000158,train
RICE_000159,train
RICE_000160,train
RICE_000161,train
RICE_000162,train
RICE_000163,train
RICE_000164,train
RICE_000165,train
RICE_000166,train
RICE_000167,train
RICE_000168,train
RICE_000169,train
RICE_000170,train
RICE_000171,train
RICE_000172,train
RICE_000173,train
RICE_000174,train
RICE_000175,train
RICE_000176,train
RICE_000177,train
RICE_000178,train
RICE_000179,train
RICE_000180,train
RICE_000181,train
RICE_000182,train
RICE_000183,train
RICE_000184,train
RICE_000185,train
RICE_000186,train
RICE_000187,train
RICE_000188,train
RICE_000189,train
RICE_000190,train
RICE_000191,train
RICE_000192,train
RICE_000193,train
RICE_000194,train
RICE_000195,train
RICE_000196,train
RICE_000197,train
RICE_000198,train
RICE_000199,train
RICE_000200,train
RICE_000201,train
RICE_000202,train
RICE_000203,train
RICE_000204,train
RICE_000205,train
RICE_000206,train
RICE_000207,train
RICE_000208,train
RICE_000209,train
RICE_000210,train
RICE_000211,train
RICE_000212,train
RICE_000213,train
RICE_000214,train
RICE_000215,train
RICE_000216,train
RICE_000217,train
RICE_000218,train
RICE_000219,train
RICE_000220,train
RICE_000221,train
RICE_000222,train
RICE_000223,train
RICE_000224,train
RICE_000225,train
RICE_000226,train
RICE_000227,train
RICE_000228,train
RICE_000229,train
RICE_000230,train
RICE_000231,train
RICE_000232,train
RICE_000233,train
RICE_000234,train
RICE_000235,train
RICE_000236,train
RICE_000237,train
RICE_000238,train
RICE_000239,train
RICE_000240,train
RICE_000241,train
RICE_000242,train
RICE_000243,train
RICE_000244,train
RICE_000245,train
RICE_000246,train
RICE_000247,train
RICE_000248,train
RICE_000249,train
RICE_000250,train
RICE_000251,train
RICE_000252,train
RICE_000253,train
RICE_000254,train
RICE_000255,train
RICE_000256,train
RICE_000257,train
RICE_000258,train
RICE_000259,train
RICE_000260,train
RICE_000261,train
RICE_000262,train
RICE_000263,train
RICE_000264,train
RICE_000265,train
RICE_000266,train
RICE_000267,train
RICE_000268,train
RICE_000269,train
RICE_000270,train
RICE_000271,train
RICE_000272,train
RICE_000273,train
RICE_000274,train
RICE_000275,train
RICE_000276,train
RICE_000277,train
RICE_000278,train
RICE_000279,train
RICE_000280,train
RICE_000281,train
RICE_000282,train
RICE_000283,train
RICE_000284,train
RICE_000285,train
RICE_000286,train
RICE_000287,train
RICE_000288,train
RICE_000289,train
RICE_000290,train
RICE_000291,train
RICE_000292,train
RICE_000293,train
RICE_000294,train
RICE_000295,train
RICE_000296,train
RICE_000297,train
RICE_000298,train
RICE_000299,train
RICE_000300,train
RICE_000301,train
RICE_000302,train
RICE_000303,train
RICE_000304,train
RICE_000305,train
RICE_000306,train
RICE_000307,train
